力量コード  ###[skill_code]###,力量名  ###[skill_name]###,力量カテゴリーコード  ###[competence_category_code]###,力量カテゴリー,力量レベルパターンコード ###[competence_scale_code]###,もうすぐ有効期限切れ（有効期限の〇日前）  ###[notify_expiration_timing_date_before]###,メール通知  ###[notify_email]###,概要  ###[overview]###,URL  ###[urls]###,有効期限切れの表示  ###[expired_highlight]###,管理者への公開  ###[competence_publish_type]###,使用プロジェクト,使用できるプロジェクト,使用力量マップ,有効期間の指定  ###[calculation_switch_type]###,有効期間の種類  ###[calculation_type]###,有効期間（年数）  ###[period_years]###,有効期間（月数）  ###[period_months]###,有効期間（暦月）  ###[specified_month]###,有効期間（日）  ###[date_type]###,有効期限の自動計算  ###[auto_calculation_enabled]###,有効期限の手動修正  ###[changeable_after_calculation]###,[育成計画の初期値]概要  ###[initial_value_training_plan_overview]###,[育成計画の初期値]内部講師（メンバーコード）  ###[initial_value_training_plan_internal_lecturer_code]###,[育成計画の初期値]社外講師  ###[initial_value_training_plan_external_lecturer_name]###,[育成計画の初期値]有効性評価の方法  ###[initial_value_training_plan_effectiveness_evaluation_method]###,[育成計画の初期値]受講者による受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_attendees]###,[育成計画の初期値]他プロジェクトによる受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_other_projects]###
SKL00239,ドキュメントビューフレームワーク設計,CTG102150000,業務スキル＞共通技術＞PCアプリ開発技術（ソフト）,SKILL_DEFAULT,0,通知しない,"＜設計スキル要素＞
・フレーム・ビュー・ドキュメントの役割・関連を定義し設計できる
・アプリの起動から、ドキュメント・フレーム・ビューの初期化の流れを理解・設計できる
・ウィンドウメッセージに対する処理の定義・処理を設計できる
・クラス設計ができる
　▶ 親・派生クラスの生成・破棄
　▶ クラスの継承を理解して、基本データ/派生データの定義・処理を設計できる
　▶ クラスの継承を理解して、仮想関数の定義・処理を設計できる",,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第6設計G , 第1設計G , 新技術推進部 , 第4設計G , 第5設計G , データ移行用",すべてのプロジェクトで使用可能,"3G3-スキル・知識 , 2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00240,オブジェクト描画設計（PCアプリ）,CTG102150000,業務スキル＞共通技術＞PCアプリ開発技術（ソフト）,SKILL_DEFAULT,0,通知しない,"＜設計スキル要素＞
・MFC、WindowsAPIの描画関数の理解・利用して描画処理を設計できる
・マッピング（物理座標⇔論理座標変換）の定義・処理を設計できる
・マウスを用いたオブジェクトの操作・描画処理ができる",,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第6設計G , 第1設計G , 新技術推進部 , 第4設計G , 第5設計G , データ移行用",すべてのプロジェクトで使用可能,"3G3-スキル・知識 , 2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00241,UI/UXデザイン設計（PCアプリ）,CTG102150000,業務スキル＞共通技術＞PCアプリ開発技術（ソフト）,SKILL_DEFAULT,0,通知しない,"＜設計スキル要素＞
・データ・UIの生成/初期化/破棄の処理が設計できる
・標準コントロールの機能理解、定義・処理を設計できる
・ダイアログメッセージに対する定義・処理が設計できる",,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第6設計G , 第1設計G , 新技術推進部 , 第4設計G , 第5設計G , データ移行用",すべてのプロジェクトで使用可能,"3G3-スキル・知識 , 2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00242,外部連携設計（PCアプリ）,CTG102150000,業務スキル＞共通技術＞PCアプリ開発技術（ソフト）,SKILL_DEFAULT,0,通知しない,"＜設計スキル要素＞
◆必須要素
・ネットワーク通信処理、外部機器との通信処理
・外部DLLの組み込み（インポート・処理）
◆プラスα要素
・コマンドラインを用いたデータ処理
・レジストリの定義・処理",,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第6設計G , 第1設計G , 新技術推進部 , 第4設計G , 第5設計G , データ移行用",すべてのプロジェクトで使用可能,"3G3-スキル・知識 , 2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00243,インストーラ設計,CTG102150000,業務スキル＞共通技術＞PCアプリ開発技術（ソフト）,SKILL_DEFAULT,0,通知しない,"＜設計スキル要素＞
・機能別にコンポーネント(ファイル、登録)のインストール方法を設計できる
・UIウィザードが設計（InstallShieldスクリプトの理解・設計）できる",,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第6設計G , 第1設計G , 新技術推進部 , 第4設計G , 第5設計G , データ移行用",すべてのプロジェクトで使用可能,"3G3-スキル・知識 , 2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00250,フレームワークベース設計（WEBアプリ/フロントエンド）,CTG102170000,業務スキル＞共通技術＞WEBアプリ（フロントエンド）開発技術（ソフト）,SKILL_DEFAULT,0,通知しない,"システム要求仕様・性能に合わせ、最適な設計ができる。
＜設計スキル要素＞
・各要求に対する選定書(設計書）を作成して、妥当性が説明できる
・開発環境を使い、設定やパラメータを理解した上で、フロントエンド実行環境に合わせてた構成を作成することができる
・フレームワークの仕組みを理解した上で、目的・用途に合わせ、React、Vue.js、Angular等のフレームワークを選定して活用することができる
・ベース技術：HTML/CSSでウェブページを作成することができる
・JavaScript等を使用して動的なプログラムの実行できる
・機能実現に最適なOSSを選定し、組込んで活用できる
・パフォーマンスの最適化
・セキュリティ性を確保したWEBページの構築
・フレームワークの仕組みを理解した上で、適切なデバッグ手法を選定して、デバッグすることができる",,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第4設計G , 第6設計G , 第1設計G , 新技術推進部 , 第5設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00251,UI/UXデザイン設計（WEBアプリ/フロントエンド）,CTG102170000,業務スキル＞共通技術＞WEBアプリ（フロントエンド）開発技術（ソフト）,SKILL_DEFAULT,0,通知しない,"システム要求仕様に合わせて、デザインの意図を理解し、UI/UXの設計ができる。
＜設計スキル要素＞
・ワイヤフレームやプロトタイピング等を活用し、考えを視覚化し、設計(設計書)する事ができる。
・UI/UXの設計ができる（レシポンシブデザイン、インタラクションデザイン等）
・テストを通じてUI/UXの向上が図る事ができる",,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第4設計G , 第6設計G , 第1設計G , 新技術推進部 , 第5設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00252,外部連携設計（WEBアプリ/フロントエンド）,CTG102170000,業務スキル＞共通技術＞WEBアプリ（フロントエンド）開発技術（ソフト）,SKILL_DEFAULT,0,通知しない,"アプリケーションの製品仕様・要求性能に合わせて、機能実現するために、バックエンドを含めた外部との連携設計ができる。
＜設計スキル要素＞
・APIを使用してバックエンド/外部との連携設計ができる
・必要に応じてクライアントと連携設計ができる
・バックエンド/外部とセキュリティ性を確保した連携設計ができる（認証、暗号化等）",,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第4設計G , 第6設計G , 第1設計G , 新技術推進部 , 第5設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00253,インフラ設計,CTG102180000,業務スキル＞共通技術＞インフラ/バックエンド開発技術（ソフト）,SKILL_DEFAULT,0,通知しない,"システム要求仕様い合わせ下記項目の最適な設計ができる。
＜設計スキル要素＞
・オンプレ/クラウド選定：想定使用を考慮して、適切なハードウェア選定とオンプレ/クラウドの選定ができる。
・ソフトウェア構築：最適なOS(Linux, Windows等）、ミドルウェア(サーバ：Apach、Nginx、IIS等)、データベースサーバ(oracle）等を選定して、構築することができる。
・セキュリティ設計：WAF設定、アクセス制御、データ暗号化
・パフォーマンス・スケーラビリティ：負荷分散、スケーリング
・ネットワーク設定：プロトコル、
・クラウド技術：AWS、GCP、Azure
・管理技術；コンテナ技術(Docker等）",,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第4設計G , 第6設計G , 第1設計G , 新技術推進部 , 第5設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00254,バックエンド設計,CTG102180000,業務スキル＞共通技術＞インフラ/バックエンド開発技術（ソフト）,SKILL_DEFAULT,0,通知しない,"システム要求仕様い合わせ下記項目の最適な設計ができる。
＜設計スキル要素＞
・サーバサイドロジック：データ処理や要求される機能を実現するロジックの実装（PHP、Ruby、Java、Python等）
・API：フロントエンドやクラインがアクセスするインターフェースの設計
・セキュリティ設計：認証、認可、データ保護等
・クラウドプラットフォームの利用（AWS、Azure、GCP等）
・テスト：ユニットテスト、結合テスト、エンドツーエンドテスト
・バージョン管理",,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第4設計G , 第6設計G , 第1設計G , 新技術推進部 , 第5設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00255,データベース設計（インフラ/バックエンド）,CTG102180000,業務スキル＞共通技術＞インフラ/バックエンド開発技術（ソフト）,SKILL_DEFAULT,0,通知しない,"システム要求仕様に合わせ下記項目の最適な設計ができる。
＜設計スキル要素＞
・データベース管理システム(DBMS)の選定ができる（MySQL、Oracle、PostgreSQL、AWS RDS等)
・データモデリング設計ができる（ER図：オブジェクト、属性、リレーションシップ等の設定等）
・SQL制御設計ができる（データ操作・検索・集計等）
・パフォーマンスチューニングができる（インデックス使用等）
・セキュリティ設計ができる（ユーザ権限とアクセス制御等）",,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第4設計G , 第6設計G , 第1設計G , 新技術推進部 , 第5設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00256,データサイエンス技術,CTG102190000,業務スキル＞共通技術＞データ分析技術,SKILL_DEFAULT,0,通知しない,"特定領域の課題に対して、データを分析を行う事で、課題解決に繋げる事ができる。
＜設計スキル要素＞
・データ分析するための環境を構築できる
・プログラミング言語（Python、R等）を使ってデータ分析を実施できる
・前処理：データクレンジング、データ加工、非構造化データの構造化、特徴量エンジニアリング等
・統計分析・機械学習(DPL、画像解析、自然言語処理等)を活用して対象データの分析/分類/予測を行う
・データの分析/分類/予測結果を評価・検証し、ハイパーパラメータチューニング・過学習対策等を行い精度が上げられる
・可視化：対象データの分析や分析/分類/予測結果を可視化して分かりやすく説明できる",https://www.datascientist.or.jp/wp/news/2014/pdf/1210.pdf,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , 第1設計G , 新技術推進部 , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 5G1SEC-スキル・知識 , 新技術推進部ースキル , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
